N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
120,신세계,"247,500","7,500",+3.13%,"5,000","24,367","9,845",24.60,"275,618",-7.95,14.24,
121,제일기획,"20,950",350,+1.70%,200,"24,101","115,041",32.52,"1,298,508",17.75,15.09,
122,종근당,"219,000","11,000",-4.78%,"2,500","23,840","10,886",13.29,"269,903",25.98,11.94,
123,OCI,"99,600",300,+0.30%,"5,000","23,754","23,849",19.87,"521,553",-3.22,-26.20,
124,한화,"31,300",300,+0.97%,"5,000","23,462","74,959",19.80,"1,250,183",12.75,2.09,
125,현대위아,"85,900","15,100",+21.33%,"5,000","23,361","27,195",11.53,"8,780,559",18.56,1.80,
126,녹십자홀딩스,"47,700","2,050",-4.12%,500,"22,432","47,028",6.95,"2,411,983",45.09,0.37,
127,한솔케미칼,"193,000","4,000",+2.12%,"5,000","21,800","11,295",38.53,"103,590",18.57,20.88,
128,LS ELECTRIC,"71,400","2,200",-2.99%,"5,000","21,420","30,000",14.56,"1,103,151",27.51,7.82,
129,오뚜기,"581,000","8,000",+1.40%,"5,000","21,334","3,672",16.24,"16,094",19.63,7.79,
130,현대미포조선,"52,800",600,-1.12%,"5,000","21,089","39,942",13.33,"531,234",45.44,2.31,
131,현대해상,"23,050",0,0.00%,500,"20,607","89,400",37.56,"626,453",5.66,6.23,
132,대웅제약,"175,500","5,000",-2.77%,"2,500","20,334","11,587",4.82,"278,346","-1,227.27",4.34,
133,KODEX 단기채권,"102,650",0,0.00%,0,"19,935","19,420",3.09,"23,610",N/A,N/A,
134,한올바이오파마,"37,600","1,300",-3.34%,500,"19,642","52,241",7.77,"702,513",99.73,14.90,
135,한화시스템,"17,750",600,+3.50%,"5,000","19,566","110,230",2.54,"1,402,472",25.14,8.15,
136,포스코인터내셔널,"15,850",450,-2.76%,"5,000","19,555","123,375",12.12,"1,915,040",8.74,7.06,
137,TIGER MSCI Korea TR,"17,725",845,+5.01%,0,"18,983","107,100",0.00,"272,011",N/A,N/A,
138,BNK금융지주,"5,780",0,0.00%,"5,000","18,839","325,935",37.16,"3,099,866",3.92,7.07,
139,KODEX MSCI Korea TR,"14,130",685,+5.09%,0,"18,835","133,300",16.02,"604,784",N/A,N/A,
140,KCC,"210,500","5,000",+2.43%,"5,000","18,706","8,886",11.69,"87,164",-668.25,-4.37,
141,명신산업,"45,750","1,750",+3.98%,500,"18,656","40,779",0.80,"5,560,563",N/A,53.84,
142,농심,"305,000","5,000",+1.67%,"5,000","18,552","6,083",18.16,"118,264",13.68,3.72,
143,대한유화,"285,000","5,500",-1.89%,"5,000","18,525","6,500",18.23,"174,277",20.86,6.11,
144,HDC현대산업개발,"28,100",150,-0.53%,"5,000","18,520","65,907",9.90,"1,713,488",6.97,20.30,
145,현대백화점,"79,000","4,300",+5.76%,"5,000","18,488","23,402",13.85,"612,440",16.19,4.64,
146,현대엘리베이,"44,250",150,+0.34%,"5,000","18,061","40,815",25.49,"951,349",19.82,5.22,
147,부광약품,"27,750",550,+2.02%,500,"17,993","64,838",4.70,"3,972,261","13,875.00",-2.00,
148,두산인프라코어,"8,290",130,-1.54%,"5,000","17,899","215,913",4.96,"3,429,000",10.70,11.59,
149,메리츠화재,"14,750",50,+0.34%,500,"17,792","120,625",9.82,"635,536",4.33,12.80,
150,아이에스동서,"55,600",100,+0.18%,500,"17,176","30,893",5.30,"170,629",13.40,6.10,
151,KODEX 레버리지,"28,660","2,395",+9.12%,0,"16,967","59,200",2.88,"82,408,697",N/A,N/A,
152,KODEX 삼성그룹,"10,865",460,+4.42%,0,"16,917","155,700",0.03,"1,622,765",N/A,N/A,
153,KODEX 200TR,"14,015",615,+4.59%,0,"16,776","119,700",0.03,"661,727",N/A,N/A,
154,효성,"79,500","2,400",+3.11%,"5,000","16,751","21,071",6.02,"357,768",-37.27,4.25,
155,KODEX 200선물인버스2X,"2,040",205,-9.13%,0,"16,683","817,800",1.69,"460,673,697",N/A,N/A,
156,한화에어로스페이스,"32,750","1,950",+6.33%,"5,000","16,581","50,630",18.62,"2,061,395",22.97,5.45,
157,솔루스첨단소재,"52,200","1,000",+1.95%,100,"15,968","30,590",10.12,"1,146,621",150.87,N/A,
158,롯데정밀화학,"58,700",700,+1.21%,"5,000","15,145","25,800",22.81,"356,899",8.85,11.73,
159,KODEX 종합채권(AA-이상)액티브,"109,970",40,-0.04%,0,"15,003","13,643",0.00,"2,010",N/A,N/A,
160,NHN,"76,400","2,000",+2.69%,500,"14,948","19,565",11.44,"298,767",50.90,0.78,
161,LG생활건강우,"709,000","1,000",+0.14%,"5,000","14,887","2,100",84.44,"6,833",15.89,N/A,
162,지누스,"101,500","2,400",+2.42%,500,"14,623","14,407",21.86,"74,925",20.48,26.32,
163,영원무역,"33,000",600,+1.85%,500,"14,623","44,311",23.70,"420,993",8.93,9.82,
164,영진약품,"7,990",10,-0.12%,500,"14,613","182,893",4.13,"2,408,737","-1,997.50",4.43,
165,한국테크놀로지그룹,"15,000",500,+3.45%,500,"13,953","93,020",6.74,"674,913",12.52,4.71,
166,F&F,"86,600",300,+0.35%,500,"13,336","15,400",9.14,"85,263",15.31,25.13,
167,메리츠금융지주,"9,930",0,0.00%,500,"13,307","134,011",8.19,"164,487",2.86,15.26,
168,이노션,"66,300",700,+1.07%,500,"13,260","20,000",29.28,"205,149",20.65,9.88,
169,한전KPS,"28,950",100,-0.34%,200,"13,028","45,000",11.15,"443,147",10.75,14.98,
170,KBSTAR 200,"43,640","1,875",+4.49%,0,"12,896","29,550",0.11,"623,657",N/A,N/A,
171,SK네트웍스,"5,100",10,-0.20%,"2,500","12,658","248,188",12.19,"1,742,148",-22.08,-5.85,
172,KG동부제철,"12,650",350,-2.69%,"5,000","12,651","100,009",0.15,"518,631",15.35,-7.44,
